Date : 2022-09-25 19:44:38
Directory : /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app
Total : 92 files,  -215459 codes, -986 comments, -42937 blanks, all -259382 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Docker       |          1 |         -6 |         -4 |         -5 |        -15 |
| Shell Script |          1 |         -7 |         -2 |         -5 |        -14 |
| TypeScript   |          1 |         -9 |          0 |         -2 |        -11 |
| Markdown     |          1 |        -13 |          0 |        -12 |        -25 |
| Gemfile      |          1 |        -29 |        -28 |        -27 |        -84 |
| Ignore       |          1 |        -47 |          0 |          0 |        -47 |
| YAML         |          8 |       -115 |        -73 |        -25 |       -213 |
| HTML         |          3 |       -182 |         -3 |        -18 |       -203 |
| CSS          |          8 |       -374 |         -4 |        -12 |       -390 |
| Ruby         |         31 |       -388 |       -488 |       -235 |     -1,111 |
| JavaScript   |         24 |    -15,964 |       -380 |       -517 |    -16,861 |
| JSON         |         10 |    -32,406 |         -4 |         -2 |    -32,412 |
| Log          |          2 |   -165,919 |          0 |    -42,077 |   -207,996 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                             |         92 |   -215,459 |       -986 |    -42,937 |   -259,382 |
| ..                                                                                                                                                                            |         92 |   -215,459 |       -986 |    -42,937 |   -259,382 |
| ../config                                                                                                                                                                     |         23 |       -248 |       -513 |       -183 |       -944 |
| ../config/environments                                                                                                                                                        |          3 |        -69 |        -93 |        -64 |       -226 |
| ../config/initializers                                                                                                                                                        |          8 |        -24 |       -313 |        -78 |       -415 |
| ../config/locales                                                                                                                                                             |          2 |        -65 |        -31 |         -4 |       -100 |
| ../db                                                                                                                                                                         |          2 |        -66 |        -18 |         -7 |        -91 |
| ../docker                                                                                                                                                                     |          1 |         -7 |         -2 |         -5 |        -14 |
| ../log                                                                                                                                                                        |          2 |   -165,919 |          0 |    -42,077 |   -207,996 |
| ../public                                                                                                                                                                     |         38 |    -16,544 |       -387 |       -545 |    -17,476 |
| ../public/assets                                                                                                                                                              |         19 |    -15,747 |       -101 |       -461 |    -16,309 |
| ../public/vite                                                                                                                                                                |         10 |       -280 |       -172 |        -12 |       -464 |
| ../public/vite-dev                                                                                                                                                            |          6 |       -335 |       -111 |        -54 |       -500 |
| ../public/vite-dev/assets                                                                                                                                                     |          4 |       -312 |       -111 |        -54 |       -477 |
| ../public/vite/assets                                                                                                                                                         |          8 |       -257 |       -172 |        -12 |       -441 |
| ../test                                                                                                                                                                       |         14 |       -202 |        -29 |        -68 |       -299 |
| ../test/channels                                                                                                                                                              |          1 |         -3 |         -7 |         -2 |        -12 |
| ../test/channels/application_cable                                                                                                                                            |          1 |         -3 |         -7 |         -2 |        -12 |
| ../test/controllers                                                                                                                                                           |          3 |        -83 |          0 |        -24 |       -107 |
| ../test/fixtures                                                                                                                                                              |          3 |        -22 |        -10 |         -8 |        -40 |
| ../test/models                                                                                                                                                                |          3 |         -9 |         -9 |         -6 |        -24 |
| ../test/system                                                                                                                                                                |          2 |        -74 |          0 |        -22 |        -96 |
| ../tmp                                                                                                                                                                        |          2 |        -12 |          0 |          0 |        -12 |
| ../tmp/cache                                                                                                                                                                  |          2 |        -12 |          0 |          0 |        -12 |
| ../tmp/cache/vite                                                                                                                                                             |          2 |        -12 |          0 |          0 |        -12 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                      | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/.dockerignore                                                                                                   | Ignore       |        -47 |          0 |          0 |        -47 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/Dockerfile                                                                                                      | Docker       |         -6 |         -4 |         -5 |        -15 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/Gemfile                                                                                                         | Gemfile      |        -29 |        -28 |        -27 |        -84 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/README.md                                                                                                       | Markdown     |        -13 |          0 |        -12 |        -25 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/config.ru                                                                                                       | Ruby         |         -3 |         -1 |         -3 |         -7 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/config/application.rb                                                                                           | Ruby         |         -9 |        -10 |         -5 |        -24 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/config/boot.rb                                                                                                  | Ruby         |         -3 |          0 |         -2 |         -5 |
| /Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/config/cable.yml                                                                                                | YAML         |         -9 |          0 |         -3 |        -12 |
